product_name,original_price,discounted_price,discount,rating,reviews,scraped_at
Minimalist 10% Niacinamide Face Serum With Matmarine + Zinc ...,249,237,5,4,128784,2026-06-17 23:18:06.439657
The Ordinary Niacinamide 10% + Zinc 1%,600,600,0,4,163118,2026-06-17 23:18:06.439657
"Plum 10% Niacinamide Brightening Face Serum with Rice Water,...",659,593,10,4,132495,2026-06-17 23:18:06.439657
The Derma Co 10% Niacinamide Face Serum For Acne Marks,599,521,13,4,71823,2026-06-17 23:18:06.439657
Minimalist Niacinamide 05% Face Serum,249,237,5,4,33835,2026-06-17 23:18:06.439657
The Derma Co 5% Niacinamide Face Serum With Alpha Arbutin & ...,499,449,10,4,5619,2026-06-17 23:18:06.439657
"Anua Niacinamide 10 Txa 4 Serum, Brightening Korean Serum Fo...",2000,2000,0,4,2021,2026-06-17 23:18:06.439657
Hyphen 18% Brightening + 20% Collagen Double Serum,649,591,9,4,9642,2026-06-17 23:18:06.439657
Plum 10% Niacinamide Brightening Face Serum with Rice Water ...,249,237,5,4,6069,2026-06-17 23:18:06.439657
Pilgrim 10% Niacinamide Face Serum For Acne Marks,649,506,22,4,3081,2026-06-17 23:18:06.439657
"Foxtale 12% Niacinamide Brightening Face Serum, Fades Dark S...",645,516,20,4,7074,2026-06-17 23:18:06.439657
Lumineve 10% Niacinamide Face Serum with Alpha Arbutin + Col...,1499,1274,15,5,78,2026-06-17 23:18:06.439657
Dot & Key Strawberry Bright 10% Niacinamide Face Serum,599,497,17,4,6757,2026-06-17 23:18:06.439657
Plum 5% Niacinamide Face Serum With Amino Acid - Fades Blemi...,599,539,10,4,10593,2026-06-17 23:18:06.439657
SKIN1004 Madagascar Centella Tone Brightening Capsule Serum,999,899,10,4,5742,2026-06-17 23:18:06.439657
Cetaphil Bright Healthy Radiance Serum,990,851,14,4,5430,2026-06-17 23:18:06.439657
Beauty Of Joseon Glow Serum - Propolis + Niacinamide,1490,1490,0,4,1893,2026-06-17 23:18:06.439657
"Deconstruct 5% Niacinamide Face Serum with Alpha Arbutin, Fo...",699,573,18,4,10106,2026-06-17 23:18:06.439657
Underated 5% Niacinamide & 3% Betaine Serum,349,279,20,4,440,2026-06-17 23:18:06.439657
